constructor,GP_name,constructor_home,const_relaiblity,active_const
Ferrari,Sepang International Circuit,0,0.929889298892989,1
Ferrari,Shanghai International Circuit,0,0.929889298892989,1
Ferrari,Silverstone Circuit,0,0.929889298892989,1
Ferrari,Sochi Autodrom,0,0.929889298892989,1
Ferrari,Suzuka Circuit,0,0.929889298892989,1
Ferrari,Valencia Street Circuit,0,0.929889298892989,1
Ferrari,Yas Marina Circuit,0,0.929889298892989,1
Haas F1 Team,Albert Park Grand Prix Circuit,0,0.9003215434083601,1
Haas F1 Team,Autodromo Enzo e Dino Ferrari,0,0.9003215434083601,1
Haas F1 Team,Autodromo Internazionale del Mugello,0,0.9003215434083601,1
Haas F1 Team,Autodromo Nazionale di Monza,0,0.9003215434083601,1
Haas F1 Team,Autódromo Hermanos Rodríguez,0,0.9003215434083601,1
Haas F1 Team,Autódromo Internacional do Algarve,0,0.9003215434083601,1
Haas F1 Team,Autódromo José Carlos Pace,0,0.9003215434083601,1
Haas F1 Team,Bahrain International Circuit,0,0.9003215434083601,1
Haas F1 Team,Baku City Circuit,0,0.9003215434083601,1
Haas F1 Team,Circuit Gilles Villeneuve,0,0.9003215434083601,1
Haas F1 Team,Circuit Park Zandvoort,0,0.9003215434083601,1
Haas F1 Team,Circuit Paul Ricard,0,0.9003215434083601,1
Haas F1 Team,Circuit de Barcelona-Catalunya,0,0.9003215434083601,1
Haas F1 Team,Circuit de Monaco,0,0.9003215434083601,1
Haas F1 Team,Circuit de Spa-Francorchamps,0,0.9003215434083601,1
Haas F1 Team,Circuit of the Americas,1,0.9003215434083601,1
Haas F1 Team,Hockenheimring,0,0.9003215434083601,1
Haas F1 Team,Hungaroring,0,0.9003215434083601,1
Haas F1 Team,Istanbul Park,0,0.9003215434083601,1
Haas F1 Team,Jeddah Corniche Circuit,0,0.9003215434083601,1
Haas F1 Team,Marina Bay Street Circuit,0,0.9003215434083601,1
Haas F1 Team,Miami International Autodrome,1,0.9003215434083601,1
Haas F1 Team,Nürburgring,0,0.9003215434083601,1
Haas F1 Team,Red Bull Ring,0,0.9003215434083601,1
Haas F1 Team,Sepang International Circuit,0,0.9003215434083601,1
Haas F1 Team,Shanghai International Circuit,0,0.9003215434083601,1
Haas F1 Team,Silverstone Circuit,0,0.9003215434083601,1
Haas F1 Team,Sochi Autodrom,0,0.9003215434083601,1
Haas F1 Team,Suzuka Circuit,0,0.9003215434083601,1
Haas F1 Team,Yas Marina Circuit,0,0.9003215434083601,1
McLaren,Albert Park Grand Prix Circuit,0,0.9294990723562152,1
